,ID,Start time,Completion time,Gender,Age,Height,"Favorite sport to play
","Favorite sport to watch
","Your earlobes are
","Your hair is naturally
","How many hours of video games do you play each week (approximately on the average)?
","How many hours of physical exercise do you do per week (approximately on the average)?
","How many hours of extracurricular (non-sport) activities do you do per week (approximately on the average)?
","How many times did you fall sick in the past one year?
","What was your GPA in the last semester?
","What was the highest educational qualification of your mother?
","You are from a (see https://en.wikipedia.org/wiki/Classification_of_Indian_cities for city classification)
","The length of you nose is (from bridge to tip)
","The distance from the left corner of your left eye to right corner of your right eye is
","The length of your head is
","The maximum distance between your thumb and your little finger on your right hand when stretched is
","The maximum distance between your thumb and your little finger on your left hand when stretched is
","What musical instruments can you play?
"
0,1,2023-02-16 13:35:43,2023-02-16 13:40:08,Man,20,174 cm,Football,Football,Attached,Curly,0,7,8,1,8.65,Primary School (4th or 5th),X tier city,4 inches,15cm,20cm,15cm,15cm,Flute
1,2,2023-02-16 13:51:46,2023-02-16 14:06:34,Man,19,5'9,Cricket,Cricket,Attached,Straight,0,3,8,4,8.75,Bachelor,Y tier city,4.4 cm,10.7 cm,27 cm,20 cm,20 cm,None
2,3,2023-02-16 14:14:19,2023-02-16 14:17:06,Man,21,5'10'',Swimming,People fight,Detached,Wavy,0,5,7,3,7.0,Middle School (8th) ,Z tier city,3 cms,4.7 cm,12 cm,13 cm,12.9 cm,"Guitar, Keyboard"
3,4,2023-02-16 14:28:22,2023-02-16 14:30:33,Man,23,185 CM,Badminton ,TT,Attached,Straight,0,5,5,2,5.0,Bachelor,Y tier city,3.5 cm,14,33,20,20,Flute
4,5,2023-02-16 14:56:32,2023-02-16 15:14:01,Man,20,5.11,football,"cricket, football",Detached,Curly,4-5,7,4-5,3,7.51,Masters,village,5.7 cm,6.5 cm,22,22,22,drums
5,6,2023-02-16 14:57:59,2023-02-16 15:15:27,Woman,19,157 cm,"Table Tennis, Badminton, Swimming, Football",All,Detached,Between wavy and straight,0 to 2 hours,7 to 10 hours,6 to 9 hours,Once,7.0,Masters,X tier city,4.5 cm,6 cm,21 cm ,20 cm,19.7 cm,"Guitar, Keyboard, Drums, Mouth Organ"
6,7,2023-02-16 15:57:23,2023-02-16 15:58:47,Woman,19,157,"Basketball, badminton , surfing ",Surfing ,Detached,Curly,0,8,4,7,8.7,Masters,X tier city,4 cm,12 cm ,15 cm ,15 cm,14 cm,Guitar 
7,8,2023-02-16 16:12:51,2023-02-16 16:18:10,Man,21,6 feet 1 inch,Football ,Football ,Attached,Straight,0,7,14,2,9.55,Bachelor,Z tier city,3.5 cm,13 cm,15 cm,17.5 cm,19.5 cm,Guitar
8,9,2023-02-16 19:45:13,2023-02-16 19:49:23,Man,20,184,Basketball,Wrestling,Detached,Wavy,1,3,2,0,7.4,Bachelor,Y tier city,5,14,19,22,22,None
9,10,2023-02-17 02:55:13,2023-02-17 02:59:29,Man,19,5'11,Football,Football,Attached,Straight,0,8-10,4-5,5,8.23,Masters,X tier city,2 inch ,4 inch,6 inch,6 inch,6 inch,"Guitar , Piano"
10,11,2023-02-19 12:31:39,2023-02-19 12:40:37,Man,19,160,Football,Cricket,Detached,Curly,1,10,3,0,8.3,Primary School (4th or 5th),Y tier city,4 cm,10 cm,52.5 cm,20 cm,21 cm,"Tabla, Flute, Ukelele"
11,12,2023-02-19 15:32:08,2023-02-19 15:35:30,Man,20,185cm,Football,WWE,Detached,Straight,4,10,4,3,7.5,Bachelor,Z tier city,2cm,10.5cm,14cm,23.4cm,23.5,Nothing
12,13,2023-02-19 17:00:34,2023-02-19 17:02:57,Man,21,165 cm,Table Tennis,Football,Detached,Wavy,5 hours,10 hours,6 hours,4,8.7,Masters,X tier city,4.5 cm,9.1 cm,15.8 cm,17 cm,17.4 cm,"Guitar, Keyboard, Drums"
